Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T21:06:13
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.30x0.48, pesos(a/s/o/p)=1.00/1.00/1.45/1.05

Resumen:
- Gen 1: best=13029.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 2: best=13068.2 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 3: best=13068.2 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 4: best=13068.2 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 5: best=13068.2 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 6: best=13071.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 7: best=13071.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 8: best=13071.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 9: best=13071.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 10: best=13071.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=0%
- Validacion final: NO PASO | kills=5/5 | dmg=330 | sim_t=233.3s | real_t=0.9s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=2/10 | ind=10/15 | fit=13029.02 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.90s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=11/15 | fit=9288.40 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.15s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=12/15 | fit=6813.95 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.97s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=13/15 | fit=12852.83 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=1.01s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=14/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.82s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=15/15 | fit=12973.77 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.92s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=1/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.83s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=2/15 | fit=13029.02 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.91s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=3/15 | fit=13029.02 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.91s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=4/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.83s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=5/15 | fit=12904.20 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.90s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=6/15 | fit=9167.18 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.37s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=7/15 | fit=-36028.98 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.98s | frames=12000 | stuck=6131f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=8/15 | fit=12719.67 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=1.16s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=9/15 | fit=4205.33 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=1.53s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=10/15 | fit=8976.95 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.10s | frames=12000 | stuck=59f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=11/15 | fit=13030.29 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.91s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=12/15 | fit=9248.24 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.27s | frames=12000 | stuck=43f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=13/15 | fit=6800.76 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.04s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=14/15 | fit=6972.27 | kills=3/5 | dmg=220 | sim_t=200.00s | real_t=1.54s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=15/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.87s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=1/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.88s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=2/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.88s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=3/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.89s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=4/15 | fit=9256.29 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.10s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=5/15 | fit=9414.87 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.31s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=6/15 | fit=12772.42 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=1.02s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=7/15 | fit=6541.97 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.14s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=8/15 | fit=9410.21 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.03s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=9/15 | fit=12769.27 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.93s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=10/15 | fit=9199.12 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.12s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=11/15 | fit=12885.47 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.85s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=12/15 | fit=13065.17 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.90s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=13/15 | fit=9401.06 | kills=4/5 | dmg=315 | sim_t=200.00s | real_t=1.40s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=14/15 | fit=9348.89 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.37s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=15/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.86s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=1/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.85s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=2/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.87s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=3/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.87s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=4/15 | fit=9096.23 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.08s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=5/15 | fit=9577.35 | kills=4/5 | dmg=310 | sim_t=200.00s | real_t=1.13s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=6/15 | fit=-36032.54 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.94s | frames=12000 | stuck=6132f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=7/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=1.00s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=8/15 | fit=12879.86 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.92s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=9/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.92s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=10/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.92s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=11/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.91s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=12/15 | fit=12926.87 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=1.15s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=13/15 | fit=12965.94 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.96s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=14/15 | fit=13068.16 | kills=5/5 | dmg=330 | sim_t=200.00s | real_t=0.95s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
