Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T22:04:14
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.35x0.48, pesos(a/s/o/p)=1.00/1.00/1.35/1.10

Resumen:
- Gen 1: best=14283.5 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=47%
- Gen 2: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=67%
- Gen 3: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=93%
- Gen 4: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=53%
- Gen 5: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 6: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 7: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 8: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Gen 9: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Gen 10: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Validacion final: PASO | kills=5/5 | dmg=330 | sim_t=83.7s | real_t=0.6s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=2/10 | ind=10/15 | fit=9138.87 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.52s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=11/15 | fit=14290.27 | kills=5/5 | dmg=330 | sim_t=83.75s | real_t=0.78s | frames=5025 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=12/15 | fit=8890.33 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.96s | frames=12000 | stuck=62f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=13/15 | fit=14283.54 | kills=5/5 | dmg=330 | sim_t=172.97s | real_t=1.30s | frames=10378 | stuck=42f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=14/15 | fit=14236.47 | kills=5/5 | dmg=330 | sim_t=97.70s | real_t=0.72s | frames=5862 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=15/15 | fit=14131.30 | kills=5/5 | dmg=330 | sim_t=83.55s | real_t=0.65s | frames=5013 | stuck=63f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=1/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.58s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=2/15 | fit=14290.27 | kills=5/5 | dmg=330 | sim_t=83.75s | real_t=0.62s | frames=5025 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=3/15 | fit=14283.54 | kills=5/5 | dmg=330 | sim_t=172.97s | real_t=1.23s | frames=10378 | stuck=42f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=4/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.57s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=5/15 | fit=14287.82 | kills=5/5 | dmg=330 | sim_t=89.33s | real_t=0.79s | frames=5360 | stuck=41f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=6/15 | fit=6727.47 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=2.06s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=7/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.75s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=8/15 | fit=14290.27 | kills=5/5 | dmg=330 | sim_t=83.75s | real_t=0.65s | frames=5025 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=9/15 | fit=14290.27 | kills=5/5 | dmg=330 | sim_t=83.75s | real_t=0.65s | frames=5025 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=10/15 | fit=14290.27 | kills=5/5 | dmg=330 | sim_t=83.75s | real_t=0.65s | frames=5025 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=11/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.59s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=12/15 | fit=14201.95 | kills=5/5 | dmg=330 | sim_t=148.88s | real_t=0.99s | frames=8933 | stuck=56f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=13/15 | fit=14290.27 | kills=5/5 | dmg=330 | sim_t=83.75s | real_t=0.66s | frames=5025 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
