Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T20:33:45
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.30x0.46, pesos(a/s/o/p)=1.05/1.00/1.50/1.25

Resumen:
- Gen 1: best=4405.7 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 2: best=6701.8 | kills=3/5 | dmg=190 | stuck=43f | hongos=1 | success=0%
- Gen 3: best=6734.7 | kills=3/5 | dmg=190 | stuck=40f | hongos=1 | success=0%
- Gen 4: best=6736.0 | kills=3/5 | dmg=190 | stuck=40f | hongos=1 | success=0%
- Gen 5: best=6846.8 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Gen 6: best=6846.8 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Gen 7: best=6869.5 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Gen 8: best=6872.9 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Gen 9: best=6875.9 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Gen 10: best=6875.9 | kills=3/5 | dmg=190 | stuck=40f | hongos=0 | success=0%
- Validacion final: NO PASO | kills=3/5 | dmg=190 | sim_t=233.3s | real_t=1.0s | stuck_max=40f | hongos=0

Detalle por individuo:
- gen=2/10 | ind=12/15 | fit=4232.02 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.78s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=2/10 | ind=13/15 | fit=4405.62 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.79s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=14/15 | fit=4239.64 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.76s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=2/10 | ind=15/15 | fit=4231.38 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.79s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=1/15 | fit=6701.81 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.78s | frames=12000 | stuck=43f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=2/15 | fit=4405.67 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.77s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=3/15 | fit=4405.67 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.76s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=4/15 | fit=6701.81 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.81s | frames=12000 | stuck=43f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=5/15 | fit=4233.11 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.77s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=6/15 | fit=6734.69 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.80s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=7/15 | fit=6715.21 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.89s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=8/15 | fit=6627.21 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.92s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=9/15 | fit=4355.04 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.88s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=10/15 | fit=4239.54 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.76s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=11/15 | fit=6701.82 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.77s | frames=12000 | stuck=43f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=12/15 | fit=4181.04 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.75s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=13/15 | fit=4240.50 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.77s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=14/15 | fit=4247.55 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.78s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=3/10 | ind=15/15 | fit=6701.81 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.81s | frames=12000 | stuck=43f | hongos=1 | ok=NO | motivo=timeout
- gen=4/10 | ind=1/15 | fit=6734.69 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.82s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=4/10 | ind=2/15 | fit=6715.21 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.88s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=4/10 | ind=3/15 | fit=6701.82 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.81s | frames=12000 | stuck=43f | hongos=1 | ok=NO | motivo=timeout
- gen=4/10 | ind=4/15 | fit=6701.79 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.80s | frames=12000 | stuck=43f | hongos=1 | ok=NO | motivo=timeout
- gen=4/10 | ind=5/15 | fit=6613.67 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.90s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=4/10 | ind=6/15 | fit=4408.41 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.78s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=7/15 | fit=4357.01 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.89s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=8/15 | fit=4194.06 | kills=2/5 | dmg=137 | sim_t=200.00s | real_t=0.87s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=4/10 | ind=9/15 | fit=4392.23 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.82s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=10/15 | fit=1936.27 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=0.95s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=11/15 | fit=6613.68 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.89s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=4/10 | ind=12/15 | fit=6735.97 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.80s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=4/10 | ind=13/15 | fit=4406.59 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.83s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=14/15 | fit=4247.11 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.79s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=4/10 | ind=15/15 | fit=6715.21 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.90s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=5/10 | ind=1/15 | fit=6735.97 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.80s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=5/10 | ind=2/15 | fit=6734.69 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.80s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=5/10 | ind=3/15 | fit=6715.21 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.89s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=5/10 | ind=4/15 | fit=4392.40 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.80s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=5/15 | fit=4356.73 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.90s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=6/15 | fit=4408.44 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.76s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=5/10 | ind=7/15 | fit=6735.97 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.78s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=5/10 | ind=8/15 | fit=6736.93 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.78s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
