Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-22T01:05:03
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.35x0.48, pesos(a/s/o/p)=1.00/1.00/1.35/1.10, escenario=mixed_vs_many_agents

Resumen:
- Gen 1: best=6691.9 | kills=3/5 | dmg=170 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 2: best=9373.6 | kills=4/5 | dmg=250 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 3: best=14487.6 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=7%
- Gen 4: best=9373.5 | kills=4/5 | dmg=250 | stuck=40f | osc=0 | hongos=0 | success=0%
- Gen 5: best=14483.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=20%
- Gen 6: best=14475.5 | kills=5/5 | dmg=330 | stuck=41f | osc=0 | hongos=0 | success=7%
- Gen 7: best=14495.7 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=13%
- Gen 8: best=14492.9 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=33%
- Gen 9: best=14497.5 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=47%
- Gen 10: best=14497.5 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=40%
- Validacion final: PASO | kills=5/5 | dmg=330 | sim_t=80.4s | real_t=0.7s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=3/10 | ind=7/15 | fit=9373.49 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.68s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=8/15 | fit=4535.08 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=1.85s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=9/15 | fit=6774.59 | kills=3/5 | dmg=170 | sim_t=200.00s | real_t=1.90s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=10/15 | fit=2375.33 | kills=1/5 | dmg=120 | sim_t=200.00s | real_t=1.92s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=11/15 | fit=14487.59 | kills=5/5 | dmg=330 | sim_t=197.40s | real_t=1.71s | frames=11844 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=3/10 | ind=12/15 | fit=2372.17 | kills=1/5 | dmg=120 | sim_t=200.00s | real_t=1.96s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=13/15 | fit=4637.10 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=1.83s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=14/15 | fit=4551.51 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=1.88s | frames=12000 | stuck=31f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=3/10 | ind=15/15 | fit=4630.70 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=1.97s | frames=12000 | stuck=20f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=4/10 | ind=1/15 | fit=9370.61 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.74s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
