Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T21:46:01
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.35x0.48, pesos(a/s/o/p)=1.00/1.00/1.35/1.10

Resumen:
- Gen 1: best=14378.3 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=53%
- Gen 2: best=14378.3 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=53%
- Gen 3: best=14378.3 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Gen 4: best=14378.3 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=53%
- Gen 5: best=14378.3 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=87%
- Gen 6: best=14378.9 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=53%
- Gen 7: best=14378.9 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=53%
- Gen 8: best=14379.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=47%
- Gen 9: best=14379.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 10: best=14379.1 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=47%
- Validacion final: PASO | kills=5/5 | dmg=330 | sim_t=79.2s | real_t=0.5s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=1/10 | ind=1/15 | fit=9196.16 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=1.59s | frames=12000 | stuck=50f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=2/15 | fit=14378.30 | kills=5/5 | dmg=330 | sim_t=85.53s | real_t=0.61s | frames=5132 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=3/15 | fit=14174.00 | kills=5/5 | dmg=330 | sim_t=84.05s | real_t=0.57s | frames=5043 | stuck=60f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=4/15 | fit=14250.06 | kills=5/5 | dmg=330 | sim_t=59.12s | real_t=0.45s | frames=3547 | stuck=56f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=5/15 | fit=6745.97 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.75s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=6/15 | fit=9240.36 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.35s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=7/15 | fit=14372.47 | kills=5/5 | dmg=330 | sim_t=57.42s | real_t=0.36s | frames=3445 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=8/15 | fit=14284.87 | kills=5/5 | dmg=330 | sim_t=99.13s | real_t=0.74s | frames=5948 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=9/15 | fit=14123.23 | kills=5/5 | dmg=330 | sim_t=183.80s | real_t=1.27s | frames=11028 | stuck=59f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=10/15 | fit=14123.15 | kills=5/5 | dmg=330 | sim_t=183.93s | real_t=1.51s | frames=11036 | stuck=61f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=11/15 | fit=6653.99 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.41s | frames=12000 | stuck=60f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=12/15 | fit=6788.95 | kills=3/5 | dmg=249 | sim_t=88.48s | real_t=0.70s | frames=5309 | stuck=61f | osc=0 | hongos=0 | ok=NO | motivo=dead
- gen=1/10 | ind=13/15 | fit=14238.28 | kills=5/5 | dmg=330 | sim_t=129.78s | real_t=0.88s | frames=7787 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=1/10 | ind=14/15 | fit=6831.01 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.25s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=1/10 | ind=15/15 | fit=9273.71 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.35s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=1/15 | fit=14378.30 | kills=5/5 | dmg=330 | sim_t=85.53s | real_t=0.65s | frames=5132 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=2/15 | fit=14372.47 | kills=5/5 | dmg=330 | sim_t=57.42s | real_t=0.38s | frames=3445 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=3/15 | fit=14284.87 | kills=5/5 | dmg=330 | sim_t=99.13s | real_t=0.77s | frames=5948 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=4/15 | fit=9250.30 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.32s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=5/15 | fit=14308.16 | kills=5/5 | dmg=330 | sim_t=128.50s | real_t=0.83s | frames=7710 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=6/15 | fit=4263.55 | kills=2/5 | dmg=180 | sim_t=200.00s | real_t=1.70s | frames=12000 | stuck=55f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=7/15 | fit=9252.18 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.34s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=8/15 | fit=9270.82 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.40s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=9/15 | fit=9227.71 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.36s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=10/15 | fit=14378.15 | kills=5/5 | dmg=330 | sim_t=85.48s | real_t=0.62s | frames=5129 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=11/15 | fit=9316.38 | kills=4/5 | dmg=265 | sim_t=200.00s | real_t=1.34s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=2/10 | ind=12/15 | fit=14119.28 | kills=5/5 | dmg=330 | sim_t=97.78s | real_t=0.67s | frames=5867 | stuck=67f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=2/10 | ind=13/15 | fit=14251.40 | kills=5/5 | dmg=330 | sim_t=97.30s | real_t=0.66s | frames=5838 | stuck=48f | osc=0 | hongos=0 | ok=SI | motivo=completed
