Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T02:42:58
Nivel: level_1
Config: poblacion=20, generaciones=5, seleccion=tournament, cruce=uniform, mutacion=0.42x0.40, pesos(a/s/o/p)=1.65/1.65/2.10/1.45

Resumen:
- Gen 1: best=9446.3 | kills=4/5 | dmg=270 | stuck=40f | hongos=0 | success=0%
- Gen 2: best=9449.3 | kills=4/5 | dmg=270 | stuck=40f | hongos=0 | success=0%
- Gen 3: best=9449.3 | kills=4/5 | dmg=270 | stuck=40f | hongos=0 | success=0%
- Gen 4: best=9449.3 | kills=4/5 | dmg=270 | stuck=40f | hongos=0 | success=0%
- Gen 5: best=9455.7 | kills=4/5 | dmg=270 | stuck=40f | hongos=0 | success=0%
- Validacion final: NO PASO | kills=4/5 | dmg=270 | sim_t=233.3s | real_t=1.0s | stuck_max=40f | hongos=0

Detalle por individuo:
- gen=1/5 | ind=1/20 | fit=3962.44 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.87s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/5 | ind=2/20 | fit=9445.39 | kills=4/5 | dmg=270 | sim_t=200.00s | real_t=0.79s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=3/20 | fit=4212.53 | kills=2/5 | dmg=137 | sim_t=200.00s | real_t=0.88s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=4/20 | fit=4046.90 | kills=2/5 | dmg=145 | sim_t=200.00s | real_t=0.84s | frames=12000 | stuck=40f | hongos=1 | ok=NO | motivo=timeout
- gen=1/5 | ind=5/20 | fit=1822.54 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=0.99s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=6/20 | fit=1937.52 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=1.05s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=7/20 | fit=4115.93 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.87s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=8/20 | fit=6686.67 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=0.86s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=9/20 | fit=4116.03 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.87s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=10/20 | fit=1822.54 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=1.01s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=1/5 | ind=11/20 | fit=4355.27 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.89s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
